042 S	01/26/2024	10:42:23	7	256	0.80	2.6	3	PCF	DWW	2	3		South
043 S	01/26/2024	11:03:59	8	271	1.13	1.7	1	PCF	DWW	2	3		South
044 S	01/26/2024	11:10:47	9	254	1.68	1	1	PCF	DWW	2	3		South
045 S	01/26/2024	11:12:22	10	281	1.68	1	1	PCF	DWW	2	3		South
046 S	01/26/2024	11:13:26	8	259	0.99	2	1	PCF	DWW	2	3		South
047 S	01/26/2024	11:22:46	10	263	1.19	1.6	2	PCF	DWW	2	3		South
048 S	01/26/2024	11:27:26	10	249	1.19	1.6	2	PCF	DWW	2	3		South
049 S	01/26/2024	11:28:43	11	260	1.25	1.5	2	PCF	DWW	2	3		South
050 S	01/26/2024	11:33:02	12	276	1.39	1.3	2	PCF	DWW	2	3		South
051 S	01/26/2024	11:39:30	12	256	1.13	1.7	4	PCF	DWW	2	3		South
052 S	01/26/2024	11:56:12	13	289	1.39	1.3	1	PCF	DWW	2	3		South
053 P	01/26/2024	12:00:00	JEM	PCF	N
054 V	01/26/2024	12:00:00	2	2
055 S	01/26/2024	12:14:27	14	288	1.57	1.1	1	JEM	PCF	2	2		South
057 S	01/26/2024	12:18:54	14	280	1.47	1.2	2	JEM	PCF	2	2		South
058 S	01/26/2024	12:24:55	14	265	1.31	1.4	4	JEM	PCF	2	2		South
059 S	01/26/2024	12:28:53	15	290	1.39	1.3	2	JEM	PCF	2	2		South
060 S	01/26/2024	12:30:52	14	249	1.25	1.5	4	JEM	PCF	2	2		South
061 S	01/26/2024	12:32:08	16	289	1.95	0.8	3	JEM	PCF	2	2		South
062 S	01/26/2024	12:33:16	15	281	1.25	1.5	3	JEM	PCF	2	2		South
063 S	01/26/2024	12:36:30	15	269	1.19	1.6	3	JEM	PCF	2	2		South
064 S	01/26/2024	12:42:16	17	288	1.95	0.8	1	JEM	PCF	2	2		South
065 S	01/26/2024	12:43:33	15	246	0.99	2	3	JEM	PCF	2	2		South
066 S	01/26/2024	12:46:42	17	278	1.68	1	1	JEM	PCF	2	2		South
067 S	01/26/2024	12:48:40	17	274	1.68	1	3	JEM	PCF	2	2		South
068 S	01/26/2024	12:51:35	16	262	1.47	1.2	3	JEM	PCF	2	2		South
069 S	01/26/2024	12:54:47	18	258	1.08	1.8	3	JEM	PCF	2	2		South
070 S	01/26/2024	12:56:17	17	258	1.47	1.2	3	JEM	PCF	2	2		South
071 P	01/26/2024	13:00:00	DWW	JEM	N
072 V	01/26/2024	13:29:59	2	2
073 S	01/26/2024	13:42:05	19	260	1.47	1.2	3	DWW	JEM	2	2		South
074 S	01/26/2024	13:47:42	20	285	1.95	0.8	6	DWW	JEM	2	2		South
075 S	01/26/2024	14:00:00	21	274	2.33	0.6	1	DWW	JEM	2	2		South
076 S	01/26/2024	14:06:52	21	265	2.33	0.6	4	DWW	JEM	2	2		South
077 S	01/26/2024	14:07:58	20	252	1.13	1.7	7	DWW	JEM	2	2		South
078	P	01/26/2024	14:30:00	DWW	JEM	N
079 S	01/26/2024	14:30:23	22	271	1.13	1.7	2	DWW	JEM	2	2		South
080 S	01/26/2024	14:36:17	23	270	0.71	3	2	DWW	JEM	2	2		South
081 S	01/26/2024	14:38:40	22	251	0.99	2	3	DWW	JEM	2	2		South
082 V	01/26/2024	14:44:12	2	3
083 S	01/26/2024	14:58:29	24	281	0.99	2	1	DWW	JEM	2	3		South
084 P	01/26/2024	15:00:00	PCF	DWW	N
085 V	01/26/2024	15:00:00	2	3
086 S	01/26/2024	15:08:26	24	267	0.71	3	1	PCF	DWW	2	3		South
087 S	01/26/2024	15:17:03	25	250	0.78	2.7	1	PCF	DWW	2	3		South
088 V	01/26/2024	15:17:11	2	4
089 S	01/26/2024	15:19:40	26	261	1.08	1.8	1	PCF	DWW	2	4		South
090 S	01/26/2024	15:28:00	27	271	1.95	0.8	5	PCF	DWW	2	4		South
091 S	01/26/2024	15:37:18	28	274	0.92	2.2	2	PCF	DWW	2	4		South
092 S	01/26/2024	15:40:52	29	280	1.47	1.2	1	PCF	DWW	2	4		South
093 S	01/26/2024	15:41:31	28	248	0.92	2.2	2	PCF	DWW	2	4		South
094 S	01/26/2024	15:41:52	27	243	1.68	1	5	PCF	DWW	2	4		South
095 S	01/26/2024	15:48:55	29	259	1.08	1.8	1	PCF	DWW	2	4		South
096 S	01/26/2024	15:53:08	29	248	0.86	2.4	1	PCF	DWW	2	4		South
097 S	01/26/2024	15:55:24	30	288	1.31	1.4	1	PCF	DWW	2	4		South
098 S	01/26/2024	15:57:17	31	290	1.95	0.8	2	PCF	DWW	2	4		South
099 V	01/26/2024	16:00:00	2	5
100 E	01/26/2024	16:00:00
