SOUTH TRAILER												
132 S	1/14/2010	14.93472	61	237	1.68	1	5	tsw	vlp	2	2	
133 S	1/14/2010	14.94472	64	238	1.68	1	1	tsw	vlp	2	2	
135 S	1/14/2010	14.98139	63	242	1.68	1	1	tsw	vlp	2	2	
136	P	1/14/2010	15.00001	tsw vlp
142 V	1/14/2010	15.00001	2	2								
136 S	1/14/2010	15.03056	67	255	1.39	1.3	2	tsw	vlp	2	2	
137 S	1/14/2010	15.03944	68	245	0.83	2.5	1	tsw	vlp	2	2	
138 S	1/14/2010	15.05111	69	253	0.78	2.7	1	tsw	vlp	2	2	
141 P	1/14/2010	15.14556	arl	tsw								
142 V	1/14/2010	15.14556	2	2								
143 S	1/14/2010	15.1625	66	225	1.13	1.7	2	arl	tsw	2	2	
144 S	1/14/2010	15.23583	70	242	1.39	1.3	3	arl	tsw	2	2	
145 S	1/14/2010	15.3525	71	266	1.39	1.3	5	arl	tsw	2	2	
146 S	1/14/2010	15.595	71	241	1.19	1.6	5	arl	tsw	2	2	
147 S	1/14/2010	15.61028	72	264	0.67	3.2	1	arl	tsw	2	2	
148 S	1/14/2010	15.64917	73	265	0.99	2	1	arl	tsw	2	2	
149 S	1/14/2010	15.72611	72	245	0.62	3.5	1	arl	tsw	2	2	
150 S	1/14/2010	15.73778	73	243	0.99	2	1	arl	tsw	2	2	
151 S	1/14/2010	16.11167	74	263	2.59	0.5	4	arl	tsw	2	2	
152 S	1/14/2010	16.2125	74	255	2.33	0.6	4	arl	tsw	2	2	
153 C	1/14/2010	16.30083										"unidentified dolphins, 1.2, 264"
154 S	1/14/2010	16.34833	74	245	1.95	0.8	4	arl	tsw	2	2	
155 S	1/14/2010	16.43639	74	234	1.8	0.9	4	arl	tsw	2	2	
156 S	1/14/2010	16.49444	75	276	2.33	0.6	2	arl	tsw	2	2	
157 E	1/14/2010	16.50083										
