NORTH TRAILER																 
001 B	2/6/2010	9.00083														
002 P	2/6/2010	9.00083	mjg	wlp												
044 S	2/6/2010	12.10528	11	252	1.57	1.1	1	WLP	RCH	3	3					
045 S	2/6/2010	12.14417	9	242	1.57	1.1	2	WLP	RCH	3	3					
046 S	2/6/2010	12.18472	9	239	1.47	1.2	1	WLP	RCH	3	3					
047 S	2/6/2010	12.2025	11	239	1.47	1.2	1	WLP	RCH	3	3	
048 S	2/6/2010	12.22694	9	232	1.47	1.2	1	WLP	RCH	3	3					
049 S	2/6/2010	12.26028	11	234	1.57	1.1	1	WLP	RCH	3	3	
050 S	2/6/2010	12.37333	9	219	1.47	1.2	1	WLP	RCH	3	3	 				
051 V	2/6/2010	12.41389	4	3												
052 S	2/6/2010	12.565	11	208	1.68	1	1	WLP	RCH	4	3	 				
053 S	2/6/2010	12.63639	10	227	1.19	1.6	1	WLP	RCH	4	3	 				
054 S	2/6/2010	12.84389	12	263	1.95	0.8	1	WLP	RCH	4	3					
055 S	2/6/2010	13.00806	12	250	1.57	1.1	1	WLP	RCH	4	3	
056 S	2/6/2010	13.13972	12	235	1.8	0.9	1	WLP	RCH	4	3	
057 S	2/6/2010	13.17806	12	225	1.57	1.1	1	WLP	RCH	4	3	
058 S	2/6/2010	13.31444	13	220	1.47	1.2	2	WLP	RCH	4	3					
059 P	2/6/2010	13.53083	MJG	WLP												
060 V	2/6/2010	13.53083	4	3												
061 S	2/6/2010	13.68778	14	269	1.8	0.9	1	MJG	WLP	4	3					
062 S	2/6/2010	13.71333	15	222	1.25	1.5	1	MJG	WLP	4	3					
063 S	2/6/2010	13.77389	15	214	1.31	1.4	1	MJG	WLP	4	3					
064 S	2/6/2010	13.85639	14	260	1.47	1.2	1	MJG	WLP	4	3					
065 S	2/6/2010	13.87583	14	258.5	1.47	1.2	1	MJG	WLP	4	3					
066 S	2/6/2010	13.89333	16	247	1.04	1.9	1	MJG	WLP	4	3					
067 S	2/6/2010	13.95278	14	252	1.39	1.3	1	MJG	WLP	4	3					
068 S	2/6/2010	14.07417	17	240	0.83	2.5	1	MJG	WLP	4	3	
069 S	2/6/2010	14.10389	14	236	1.25	1.5	1	MJG	WLP	4	3					
070 S	2/6/2010	14.13639	14	228	1.25	1.5	1	MJG	WLP	4	3					
071 S	2/6/2010	14.18222	14	222	1.25	1.5	1	MJG	WLP	4	3					
072 S	2/6/2010	14.20111	18	258	0.92	2.2	1	MJG	WLP	4	3	
073 S	2/6/2010	14.24944	18	238	0.83	2.5	1	MJG	WLP	4	3					
074 S	2/6/2010	14.28944	18	229	0.83	2.5	1	MJG	WLP	4	3					
075 S	2/6/2010	14.31528	18	220	0.83	2.5	1	MJG	WLP	4	3					
076 S	2/6/2010	14.34611	19	261	1.57	1.1	1	MJG	WLP	4	3					
077 S	2/6/2010	14.42722	19	255	1.57	1.1	1	MJG	WLP	4	3					
078 S	2/6/2010	14.70667	20	280	2.33	0.6	1	MJG	WLP	4	3					
079 S	2/6/2010	14.73444	21	234	1.39	1.3	1	MJG	WLP	4	3					
080 S	2/6/2010	14.88889	21	222	1.52	1.15	1	MJG	WLP	4	3					
081 S	2/6/2010	14.96444	20	261	1.95	0.8	1	MJG	WLP	4	3		
082 P	2/6/2010	15.00001	RCH	MJG												
083 V	2/6/2010	15.00001	5	3															
084 S	2/6/2010	15.01333	22	255	1.74	0.95	1	MJG	WLP	5	3					
085 S	2/6/2010	15.09389	23	245	1.47	1.2	1	RCH	MJG	5	3					
086 S	2/6/2010	15.11111	22	243	1.57	1.1	1	RCH	MJG	5	3					
087 S	2/6/2010	15.12583	24	255	1.39	1.3	1	RCH	MJG	5	3	
088 C	2/6/2010	15.15278										OBS BEARING = 293				
089 S	2/6/2010	15.16889	23	235	1.47	1.2	1	RCH	MJG	5	3					
090 S	2/6/2010	15.215	22	228	1.47	1.2	1	RCH	MJG	5	3					
091 S	2/6/2010	15.29472	20	219	1.8	0.9	1	RCH	MJG	5	3					
092 S	2/6/2010	15.30472	20	217	1.8	0.9	1	RCH	MJG	5	3					
093 S	2/6/2010	15.31833	23	215	1.57	1.1	1	RCH	MJG	5	3					
094 S	2/6/2010	15.39861	24	212	1.25	1.5	1	RCH	MJG	5	3					
096 S	2/6/2010	15.49639	25	240	0.99	2	1	RCH	MJG	5	3	
097 S	2/6/2010	15.59	25	222	0.86	2.4	1	RCH	MJG	5	3					
098 V	2/6/2010	15.76444	4	4												
099 S	2/6/2010	16.12667	26	260	1.95	0.8	2	RCH	MJG	4	4					
100 S	2/6/2010	16.26306	26	250	1.74	0.95	2	RCH	MJG	4	4					
101 S	2/6/2010	16.29139	26	247	1.68	1	2	RCH	MJG	4	4					
102 S	2/6/2010	16.33972	26	244	1.62	1.05	2	RCH	MJG	4	4					
103 S	2/6/2010	16.37278	26	239	1.57	1.1	2	RCH	MJG	4	4					
104 S	2/6/2010	16.42194	26	233	1.47	1.2	2	RCH	MJG	4	4					
105 S	2/6/2010	16.45139	26	230	1.47	1.2	2	RCH	MJG	4	4					
106 S	2/6/2010	16.48889	26	227	1.47	1.2	2	RCH	MJG	4	4					
107 S	2/6/2010	16.49833	26	224	1.47	1.2	2	RCH	MJG	4	4					
108 E	2/6/2010	16.50333														
