SOUTH TRAILER												
081 S	1/21/2010	14.65	20	279	2.59	0.5	3	JWD	JPB	5	3	
082 S	1/21/2010	14.67	21	241	0.62	3.5	1	JWD	JPB	5	3	
083 S	1/21/2010	14.73889	20	277	2.59	0.5	3	JWD	JPB	5	3	
084 S	1/21/2010	14.76944	19	240	1.47	1.2	1	JWD	JPB	5	3	
085 S	1/21/2010	14.84889	19	239	1.57	1.1	2	JWD	JPB	5	3	
086 S	1/21/2010	14.87028	19	239	1.57	1.1	3	JWD	JPB	5	3	
087 V	1/21/2010	14.87389	5	4								
088 P	1/21/2010	15.01056	DWW	JWD								
089 V	1/21/2010	15.01056	5	4								
090 S	1/21/2010	15.09806	22	263	1.57	1.1	1	DWW	JWD	5	4	
091 V	1/21/2010	15.14833	5	5								
092 E	1/21/2010	15.15333										
093 V	1/21/2010	15.90917	5	3								
094 B	1/21/2010	15.92222										
095 P	1/21/2010	15.92222	DWW	JWD								
096 V	1/21/2010	15.92222	5	3								
097 S	1/21/2010	15.945	23	335	1.19	1.6	1	DWW	JWD	5	3	
098 S	1/21/2010	16.11306	24	255	1.68	1	2	DWW	JWD	5	3	
099 S	1/21/2010	16.25417	25	255	1.68	1	1	DWW	JWD	5	3	
100 S	1/21/2010	16.30972	25	249	1.68	1	1	DWW	JWD	5	3	
101 S	1/21/2010	16.32278	24	241	1.57	1.1	2	DWW	JWD	5	3	
102 E	1/21/2010	16.50028										
103 C	1/21/2010	16.50167										END FOR THE DAY
