NORTH TRAILER												
111 C	1/25/2010	13.56389										LOBOS ROCK 294 DEG
112 V	1/25/2010	13.80306	5	4								
113 S	1/25/2010	13.85694	54	211	1.31	1.4	1	MJG	DJR	5	4	
114 S	1/25/2010	13.87167	55	216	0.61	3.6	1	MJG	DJR	5	4	
115 S	1/25/2010	14.05361	56	255	0.99	2	1	MJG	DJR	5	4	
116 S	1/25/2010	14.22889	56	226	1.08	1.8	1	MJG	DJR	5	4	
117 S	1/25/2010	14.285	56	217	1.13	1.7	1	MJG	DJR	5	4	
118 C	1/25/2010	14.31										"EDITED, DONE - DELETE LINE 116"
119 S	1/25/2010	14.49556	58	228	1.31	1.4	1	MJG	DJR	5	4	
120 V	1/25/2010	14.75583	5	4								
121 V	1/25/2010	14.78917	5	4								
122 P	1/25/2010	15.00806	DWW	MJG								
123 V	1/25/2010	15.00806	5	4								
124 S	1/25/2010	15.62389	59	244	0.78	2.7	2	DWW	MJG	5	4	
125 S	1/25/2010	16.09722	60	242	1.57	1.1	2	DWW	MJG	5	4	
126 S	1/25/2010	16.22944	60	229	1.57	1.1	3	DWW	MJG	5	4	
127 V	1/25/2010	16.38833	4	3								
128 S	1/25/2010	16.46806	61	274	2.12	0.7	2	DWW	MJG	4	3	
129 E	1/25/2010	16.50194										
